tree_dbh,spc_latin,latitude,longitude
3,Platanus x acerifolia,40.8590236,-73.8949337
26,Platanus x acerifolia,40.59552637,-74.10868956
18,Quercus palustris,40.72198611,-73.8398555
6,Acer platanoides,40.54264123,-74.14324892
5,Platanus x acerifolia,40.70598882,-73.80085083
19,Quercus palustris,40.75096548,-73.77622976
4,Pyrus calleryana,40.53102325,-74.19896927
6,Pyrus calleryana,40.6768808,-73.83657911
11,Acer platanoides,40.5314978,-74.18927572
19,Platanus x acerifolia,40.68165475,-73.80284354
31,Platanus x acerifolia,40.70224722,-73.75743526
18,Platanus x acerifolia,40.67785529,-73.97639044
4,Platanus x acerifolia,40.8285902,-73.86861765
16,Quercus palustris,40.63834068,-73.94814822
23,Quercus palustris,40.87589876,-73.89997922
18,Pyrus calleryana,40.57991325,-73.84233975
24,Quercus palustris,40.59969493,-73.75945034
19,Pyrus calleryana,40.74959141,-73.78371106
7,Pyrus calleryana,40.53851262,-74.16940903
16,Platanus x acerifolia,40.61138668,-73.91051176
21,Platanus x acerifolia,40.68238567,-73.99158831
30,Platanus x acerifolia,40.59045046,-73.97650256
25,Platanus x acerifolia,40.72182407,-73.87228971
30,Quercus palustris,40.77519148,-73.78322361
4,Pyrus calleryana,40.53104536,-74.1989837
12,Acer platanoides,40.73956348,-73.72656329
32,Platanus x acerifolia,40.68098389,-73.86945813
8,Pyrus calleryana,40.62112943,-74.14182123
25,Platanus x acerifolia,40.6293604,-74.03257511
25,Platanus x acerifolia,40.62513493,-73.92262906
18,Pyrus calleryana,40.72069788,-74.0088874
36,Platanus x acerifolia,40.64323137,-74.00259319
21,Platanus x acerifolia,40.60622937,-73.76251646
22,Platanus x acerifolia,40.78293932,-73.79967088
4,Acer platanoides,40.55065199,-74.21785241
8,Pyrus calleryana,40.54360431,-74.17464592
18,Quercus palustris,40.7461627,-73.89890215
11,Pyrus calleryana,40.82137997,-73.82621194
6,Pyrus calleryana,40.546168,-74.18508528
52,Platanus x acerifolia,40.63719737,-73.95009423
16,Quercus palustris,40.64160206,-73.92728382
3,Quercus palustris,40.70731798,-73.94392906
11,Pyrus calleryana,40.63108927,-74.15225977
26,Platanus x acerifolia,40.73220535,-73.75078895
4,Pyrus calleryana,40.51741462,-74.19337716
15,Acer platanoides,40.6166549,-74.12406605
22,Platanus x acerifolia,40.72190336,-73.88767063
28,Platanus x acerifolia,40.64599543,-73.90870444
9,Pyrus calleryana,40.62871495,-73.91780242
19,Platanus x acerifolia,40.78284683,-73.77377572
32,Platanus x acerifolia,40.74338045,-73.8645506
6,Pyrus calleryana,40.76045193,-73.94144144
18,Platanus x acerifolia,40.74868421,-73.89548293
9,Pyrus calleryana,40.53808996,-74.16296641
29,Platanus x acerifolia,40.60864352,-73.93499648
6,Quercus palustris,40.81181717,-73.9171764
11,Platanus x acerifolia,40.65914252,-73.95541356
6,Platanus x acerifolia,40.58028692,-73.94499236
22,Platanus x acerifolia,40.681719,-73.86339869
12,Pyrus calleryana,40.61472934,-73.98423498
10,Pyrus calleryana,40.50730399,-74.24256803
